Price,Close,High,Low,Open,Volume
Ticker,BPCL.NS,BPCL.NS,BPCL.NS,BPCL.NS,BPCL.NS
Date,,,,,
2000-06-06,3.015630006790161,3.0488282109276645,2.918351687877595,2.9723951198475165,1038864
2000-06-07,3.2070982456207275,3.2572816558398023,3.0727613613997176,3.0727613613997176,2757648
2000-06-08,3.322906494140625,3.3962514382964852,3.180849193384475,3.2271722416056896,1429032
2000-06-09,3.348384141921997,3.366141570551268,3.263458784478342,3.366141570551268,1130424
2000-06-12,3.309781551361084,3.3553323824376617,3.1808490947063084,3.3507001484426064,941712
2000-06-13,3.3738622665405273,3.4078326953257854,3.258054629166897,3.366141875187906,1107576
2000-06-14,3.3537888526916504,3.458787576346585,3.3368032868894186,3.397023392573975,385488
2000-06-15,3.2758116722106934,3.3198184278444427,3.2441571878642694,3.290480237338456,250248
2000-06-16,3.296656847000122,3.3267668993292516,3.2155915117999814,3.2155915117999814,507336
2000-06-19,3.336803674697876,3.3970237873813067,3.288936894988239,3.29588542390046,414096
2000-06-20,3.3537888526916504,3.4124645268713327,3.296656903183201,3.296656903183201,543600
2000-06-21,3.3754048347473145,3.4896683427320543,3.3229054902025346,3.395478550117423,1321608
2000-06-22,3.3692290782928467,3.4572429284737147,3.3506997908731755,3.376949820877488,272160
2000-06-23,3.2765820026397705,3.4356244452659768,3.2209941572097436,3.397021804279846,735408
2000-06-26,3.0133144855499268,3.1962903881420566,2.9577266145756265,3.180849253968615,4932048
2000-06-27,3.0017337799072266,3.071990217217427,2.9044552689294783,2.9044552689294783,702720
2000-06-28,3.0109965801239014,3.0287536451981465,2.9361074198706354,2.9994158240465016,851160
2000-06-29,3.061180353164673,3.180848312397798,2.9337920058385674,2.951549251869136,607704
2000-06-30,2.970851421356201,3.06504159657452,2.9569543654154598,3.0418800722844934,613104
2000-07-03,3.0048203468322754,3.0866578663943027,2.9855192017524,3.038018542556335,384192
2000-07-04,3.0055928230285645,3.024894323199639,2.964674236405959,3.010997271349802,1271112
2000-07-05,3.1221721172332764,3.136841028786736,3.0411068192887303,3.041878681256464,1103496
2000-07-06,3.0704448223114014,3.242612481019553,3.0588640634506175,3.242612481019553,1117032
2000-07-07,3.126033306121826,3.134525911451411,3.0650413443003934,3.0874310044268953,363888
2000-07-10,3.217134952545166,3.2426127656419075,3.149966686623567,3.149966686623567,886008
2000-07-11,3.6363589763641357,3.72128432194192,3.2132749127231364,3.234892356950539,1692768
2000-07-12,3.4626471996307373,3.752166196255381,3.422500471187655,3.752166196255381,1478064
2000-07-13,3.436396837234497,3.5051095275823347,3.4124634576601873,3.504337665488562,377520
2000-07-14,3.456470489501953,3.50510982165857,3.3977948287839923,3.4124637439634826,488880
2000-07-17,3.478861093521118,3.57459535273739,3.4294495323421317,3.4294495323421317,489528
2000-07-18,3.348384141921997,3.466508062719601,3.3059214632001694,3.466508062719601,1331760
2000-07-19,3.146878719329834,3.335259418718695,3.1345260951568754,3.239524814294242,2008848
