Price,Close,High,Low,Open,Volume
Ticker,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS
Date,,,,,
2003-10-16,237.02394104003906,241.4005386474309,233.84873670822523,234.87853978583516,4100489
2003-10-17,242.25869750976562,245.77716078064685,236.3803190642096,240.75691664198533,4126840
2003-10-20,235.77963256835938,244.4041364050934,234.53528918203196,242.00129712202857,2192534
2003-10-21,224.19444274902344,239.4267924477609,220.5472604267905,236.93813210097474,3223848
2003-10-22,226.29693603515625,239.42678130875385,223.5937094885506,226.51147616177698,2569557
2003-10-23,226.3827362060547,234.49236364958324,224.5376963135797,226.98345904964233,3114998
2003-10-24,244.57577514648438,249.7247388337788,223.1217597827577,227.412562855503,5225375
2003-10-27,243.03111267089844,255.73188013488942,241.65805035855163,253.07157681515224,5831782
2003-10-28,245.69137573242188,250.49708045595,238.39701044157965,242.85945615392373,5640636
2003-10-29,261.7389831542969,264.57090266037306,245.60557434037938,250.11091749303532,7996572
2003-10-30,262.51129150390625,266.63047761402584,259.1644707943579,263.0261930412937,7108567
2003-10-31,276.5850524902344,278.21557800124924,263.0261303103476,264.1417282178036,9924397
2003-11-03,298.296630859375,299.927130767381,278.0440353895034,278.0440353895034,9820043
2003-11-04,299.9270935058594,306.020038268381,296.2370138467584,304.64697623628064,7884723
2003-11-05,288.427734375,300.35615947045966,283.2787716412207,300.35615947045966,7280790
2003-11-06,290.4444580078125,296.6661221963443,286.62563296132754,291.7745964276987,6122862
2003-11-07,285.98193359375,294.6922558157496,284.26561291201705,292.5468549635834,4584798
2003-11-10,293.2335205078125,296.06544033103665,280.70436909948444,289.20015475814307,1953978
2003-11-11,292.3752746582031,297.6529561674666,290.35859237071816,294.9926535449744,3262766
2003-11-12,294.30615234375,297.78169187418234,290.10114496552427,290.10114496552427,3302571
2003-11-13,297.567138671875,306.10584570056,290.0582346678984,296.02246032379134,7982920
2003-11-14,282.5922546386719,297.35262636529797,279.88905418223817,296.92354609637255,4834168
2003-11-17,300.3562316894531,303.35979400634767,289.20014308384486,292.33242426223785,4081415
2003-11-18,295.2501525878906,304.1321202954071,291.77461253185476,302.93070065807274,4672908
2003-11-19,283.7079162597656,296.9235850381161,282.33485398133,296.9235850381161,4672785
2003-11-20,277.228759765625,290.9593287916565,275.4695410847575,284.86640973754066,5484243
2003-11-21,278.0869445800781,280.6185289406101,269.5482619357957,278.04404702372375,8100784
2003-11-24,280.8330383300781,285.76746146345613,278.04401655903837,282.0773815958269,5287524
2003-11-25,289.45745849609375,290.4872613309067,282.0343771444872,283.6648764754627,5021011
2003-11-26,289.45745849609375,289.45745849609375,289.45745849609375,289.45745849609375,0
2003-11-27,292.3752746582031,297.78167499667234,290.4014899174606,291.7745518699383,5069219
2003-11-28,295.72210693359375,302.07248925397806,293.61960327995575,294.69230388099976,3606119
2003-12-01,305.5480651855469,307.0498462062097,297.6530035331662,297.99626252866403,4405346
